# Server / Fusion Coverage Audit
Generated: 2026-09-23
Mode: local runtime foundation audit. Dashboard, matching, workers, and UI copy remain out of scope.

## A. Local Server Registry
| code | displayName | host | numericId | aliases | releaseDate | type | region | active |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 123PLAYGAMES | 123PLAYGAMES | 123playgames.sfgame.gr | 142 |  |  | origin | GR | false |
| AE1 | AE 1 | s1.sfgame.ae | 36 | s1_ae, s1ae |  | origin | AE | false |
| AE2 | AE 2 | s2.sfgame.ae | 65 | s2_ae, s2ae |  | origin | AE | false |
| AM1 | AM 1 | am1.sfgame.net | 521 | am1_am, am1am |  | origin | AM | true |
| BLACKFOREST | Black Forest | blackforest.sfgame.net | 545 | blackforest_net, blackforestnet, BLACK_FOREST |  | named | Fusion | true |
| BR1 | BR 1 | s1.sfgame.com.br | 90 | s1_br, s1br |  | origin | BR | false |
| BR2 | BR 2 | s2.sfgame.com.br | 183 | s2_br, s2br |  | origin | BR | false |
| BUFFED | BUFFED | buffed.sfgame.de | 2 |  |  | origin | DE | false |
| CA1 | CA 1 | s1.sfgame.ca | 194 | s1_ca, s1ca |  | origin | CA | false |
| CL1 | CL 1 | s1.sfgame.cl | 25 | s1_cl, s1cl |  | origin | CL | false |
| CL2 | CL 2 | s2.sfgame.cl | 73 | s2_cl, s2cl |  | origin | CL | false |
| CZ1 | CZ 1 | s1.sfgame.cz | 28 | s1_cz, s1cz |  | origin | CZ | false |
| CZ2 | CZ 2 | s2.sfgame.cz | 37 | s2_cz, s2cz |  | origin | CZ | false |
| CZ3 | CZ 3 | s3.sfgame.cz | 41 | s3_cz, s3cz |  | origin | CZ | false |
| CZ4 | CZ 4 | s4.sfgame.cz | 48 | s4_cz, s4cz |  | origin | CZ | false |
| CZ5 | CZ 5 | s5.sfgame.cz | 60 | s5_cz, s5cz |  | origin | CZ | false |
| CZ6 | CZ 6 | s6.sfgame.cz | 74 | s6_cz, s6cz |  | origin | CZ | false |
| CZ7 | CZ 7 | s7.sfgame.cz | 93 | s7_cz, s7cz |  | origin | CZ | false |
| CZ8 | CZ 8 | s8.sfgame.cz | 116 | s8_cz, s8cz |  | origin | CZ | false |
| CZ9 | CZ 9 | s9.sfgame.cz | 149 | s9_cz, s9cz |  | origin | CZ | false |
| CZ10 | CZ 10 | s10.sfgame.cz | 168 | s10_cz, s10cz |  | origin | CZ | false |
| CZ11 | CZ 11 | s11.sfgame.cz | 198 | s11_cz, s11cz |  | origin | CZ | false |
| CZ12 | CZ 12 | s12.sfgame.cz | 213 | s12_cz, s12cz |  | origin | CZ | false |
| CZ13 | CZ 13 | s13.sfgame.cz | 220 | s13_cz, s13cz |  | origin | CZ | false |
| CZ14 | CZ 14 | s14.sfgame.cz | 243 | s14_cz, s14cz |  | origin | CZ | false |
| CZ15 | CZ 15 | s15.sfgame.cz | 252 | s15_cz, s15cz |  | origin | CZ | false |
| CZ16 | CZ 16 | s16.sfgame.cz | 267 | s16_cz, s16cz |  | origin | CZ | false |
| CZ17 | CZ 17 | s17.sfgame.cz | 271 | s17_cz, s17cz |  | origin | CZ | false |
| CZ18 | CZ 18 | s18.sfgame.cz | 277 | s18_cz, s18cz |  | origin | CZ | false |
| CZ19 | CZ 19 | s19.sfgame.cz | 281 | s19_cz, s19cz |  | origin | CZ | false |
| CZ20 | CZ 20 | s20.sfgame.cz | 285 | s20_cz, s20cz |  | origin | CZ | false |
| CZ21 | CZ 21 | s21.sfgame.cz | 293 | s21_cz, s21cz |  | origin | CZ | false |
| CZ22 | CZ 22 | s22.sfgame.cz | 308 | s22_cz, s22cz |  | origin | CZ | false |
| CZ23 | CZ 23 | s23.sfgame.cz | 312 | s23_cz, s23cz |  | origin | CZ | false |
| CZ24 | CZ 24 | s24.sfgame.cz | 316 | s24_cz, s24cz |  | origin | CZ | false |
| CZ25 | CZ 25 | s25.sfgame.cz | 323 | s25_cz, s25cz |  | origin | CZ | false |
| CZ26 | CZ 26 | s26.sfgame.cz | 335 | s26_cz, s26cz |  | origin | CZ | false |
| CZ27 | CZ 27 | s27.sfgame.cz | 339 | s27_cz, s27cz |  | origin | CZ | false |
| CZ28 | CZ 28 | s28.sfgame.cz | 349 | s28_cz, s28cz |  | origin | CZ | false |
| CZ29 | CZ 29 | s29.sfgame.cz | 364 | s29_cz, s29cz |  | origin | CZ | false |
| CZ30 | CZ 30 | s30.sfgame.cz | 389 | s30_cz, s30cz |  | origin | CZ | false |
| CZ31 | CZ 31 | s31.sfgame.cz | 395 | s31_cz, s31cz |  | origin | CZ | false |
| CZ32 | CZ 32 | s32.sfgame.cz | 408 | s32_cz, s32cz |  | origin | CZ | false |
| CZ33 | CZ 33 | s33.sfgame.cz | 418 | s33_cz, s33cz |  | origin | CZ | false |
| CZ34 | CZ 34 | s34.sfgame.cz | 427 | s34_cz, s34cz |  | origin | CZ | false |
| CZ35 | CZ 35 | s35.sfgame.cz | 443 | s35_cz, s35cz |  | origin | CZ | false |
| DE1 | DE 1 | s1.sfgame.de | 1 | s1_de, s1de |  | origin | DE | false |
| DE2 | DE 2 | s2.sfgame.de | 3 | s2_de, s2de |  | origin | DE | false |
| DE3 | DE 3 | s3.sfgame.de | 9 | s3_de, s3de |  | origin | DE | false |
| DE4 | DE 4 | s4.sfgame.de | 12 | s4_de, s4de |  | origin | DE | false |
| DE5 | DE 5 | s5.sfgame.de | 14 | s5_de, s5de |  | origin | DE | false |
| DE6 | DE 6 | s6.sfgame.de | 15 | s6_de, s6de |  | origin | DE | false |
| DE7 | DE 7 | s7.sfgame.de | 20 | s7_de, s7de |  | origin | DE | false |
| DE8 | DE 8 | s8.sfgame.de | 31 | s8_de, s8de |  | origin | DE | false |
| DE9 | DE 9 | s9.sfgame.de | 39 | s9_de, s9de |  | origin | DE | false |
| DE10 | DE 10 | s10.sfgame.de | 45 | s10_de, s10de |  | origin | DE | false |
| DE11 | DE 11 | s11.sfgame.de | 57 | s11_de, s11de |  | origin | DE | false |
| DE12 | DE 12 | s12.sfgame.de | 61 | s12_de, s12de |  | origin | DE | false |
| DE13 | DE 13 | s13.sfgame.de | 77 | s13_de, s13de |  | origin | DE | false |
| DE14 | DE 14 | s14.sfgame.de | 102 | s14_de, s14de |  | origin | DE | false |
| DE15 | DE 15 | s15.sfgame.de | 121 | s15_de, s15de |  | origin | DE | false |
| DE16 | DE 16 | s16.sfgame.de | 147 | s16_de, s16de |  | origin | DE | false |
| DE17 | DE 17 | s17.sfgame.de | 165 | s17_de, s17de |  | origin | DE | false |
| DE18 | DE 18 | s18.sfgame.de | 196 | s18_de, s18de |  | origin | DE | false |
| DE19 | DE 19 | s19.sfgame.de | 210 | s19_de, s19de |  | origin | DE | false |
| DE20 | DE 20 | s20.sfgame.de | 217 | s20_de, s20de |  | origin | DE | false |
| DE21 | DE 21 | s21.sfgame.de | 234 | s21_de, s21de |  | origin | DE | false |
| DE22 | DE 22 | s22.sfgame.de | 240 | s22_de, s22de |  | origin | DE | false |
| DE23 | DE 23 | s23.sfgame.de | 248 | s23_de, s23de |  | origin | DE | false |
| DE24 | DE 24 | s24.sfgame.de | 254 | s24_de, s24de |  | origin | DE | false |
| DE25 | DE 25 | s25.sfgame.de | 264 | s25_de, s25de |  | origin | DE | false |
| DE26 | DE 26 | s26.sfgame.de | 269 | s26_de, s26de |  | origin | DE | false |
| DE27 | DE 27 | s27.sfgame.de | 273 | s27_de, s27de |  | origin | DE | false |
| DE28 | DE 28 | s28.sfgame.de | 279 | s28_de, s28de |  | origin | DE | false |
| DE29 | DE 29 | s29.sfgame.de | 282 | s29_de, s29de |  | origin | DE | false |
| DE30 | DE 30 | s30.sfgame.de | 289 | s30_de, s30de |  | origin | DE | false |
| DE31 | DE 31 | s31.sfgame.de | 306 | s31_de, s31de |  | origin | DE | false |
| DE32 | DE 32 | s32.sfgame.de | 310 | s32_de, s32de |  | origin | DE | false |
| DE33 | DE 33 | s33.sfgame.de | 315 | s33_de, s33de |  | origin | DE | false |
| DE34 | DE 34 | s34.sfgame.de | 320 | s34_de, s34de |  | origin | DE | false |
| DE35 | DE 35 | s35.sfgame.de | 333 | s35_de, s35de |  | origin | DE | false |
| DE36 | DE 36 | s36.sfgame.de | 338 | s36_de, s36de |  | origin | DE | false |
| DE37 | DE 37 | s37.sfgame.de | 347 | s37_de, s37de |  | origin | DE | false |
| DE38 | DE 38 | s38.sfgame.de | 383 | s38_de, s38de |  | origin | DE | false |
| DE39 | DE 39 | s39.sfgame.de | 393 | s39_de, s39de |  | origin | DE | false |
| DE40 | DE 40 | s40.sfgame.de | 406 | s40_de, s40de |  | origin | DE | false |
| DE41 | DE 41 | s41.sfgame.de | 415 | s41_de, s41de |  | origin | DE | false |
| DE42 | DE 42 | s42.sfgame.de | 425 | s42_de, s42de |  | origin | DE | false |
| DE43 | DE 43 | s43.sfgame.de | 441 | s43_de, s43de |  | origin | DE | false |
| DK1 | DK 1 | s1.sfgame.dk | 69 | s1_dk, s1dk |  | origin | DK | false |
| DK2 | DK 2 | s2.sfgame.dk | 166 | s2_dk, s2dk |  | origin | DK | false |
| ES1 | ES 1 | s1.sfgame.es | 19 | s1_es, s1es |  | origin | ES | false |
| ES2 | ES 2 | s2.sfgame.es | 30 | s2_es, s2es |  | origin | ES | false |
| ES3 | ES 3 | s3.sfgame.es | 53 | s3_es, s3es |  | origin | ES | false |
| ES4 | ES 4 | s4.sfgame.es | 63 | s4_es, s4es |  | origin | ES | false |
| ES5 | ES 5 | s5.sfgame.es | 91 | s5_es, s5es |  | origin | ES | false |
| ES6 | ES 6 | s6.sfgame.es | 123 | s6_es, s6es |  | origin | ES | false |
| ES7 | ES 7 | s7.sfgame.es | 180 | s7_es, s7es |  | origin | ES | false |
| ES8 | ES 8 | s8.sfgame.es | 235 | s8_es, s8es |  | origin | ES | false |
| ES9 | ES 9 | s9.sfgame.es | 258 | s9_es, s9es |  | origin | ES | false |
| ES10 | ES 10 | s10.sfgame.es | 274 | s10_es, s10es |  | origin | ES | false |
| ES11 | ES 11 | s11.sfgame.es | 288 | s11_es, s11es |  | origin | ES | false |
| ES12 | ES 12 | s12.sfgame.es | 398 | s12_es, s12es |  | origin | ES | false |
| EU1 | EU 1 | s1.sfgame.eu | 458 | s1_eu, s1eu | 2023-01-06 | origin | EU | false |
| EU2 | EU 2 | s2.sfgame.eu | 460 | s2_eu, s2eu | 2023-02-24 | origin | EU | false |
| EU3 | EU 3 | s3.sfgame.eu | 462 | s3_eu, s3eu | 2023-04-14 | origin | EU | false |
| EU4 | EU 4 | s4.sfgame.eu | 464 | s4_eu, s4eu | 2023-05-26 | origin | EU | false |
| EU5 | EU 5 | s5.sfgame.eu | 466 | s5_eu, s5eu |  | origin | EU | true |
| EU6 | EU 6 | s6.sfgame.eu | 472 | s6_eu, s6eu |  | origin | EU | true |
| EU7 | EU 7 | s7.sfgame.eu | 475 | s7_eu, s7eu |  | origin | EU | true |
| EU8 | EU 8 | s8.sfgame.eu | 479 | s8_eu, s8eu |  | origin | EU | true |
| EU9 | EU 9 | s9.sfgame.eu | 480 | s9_eu, s9eu |  | origin | EU | true |
| EU10 | EU 10 | s10.sfgame.eu | 496 | s10_eu, s10eu |  | origin | EU | true |
